Kishan,Kishan,Kishan,Mateshwari Apppt Exibition Road Patna,9772015306,kishan_kr@live.com,Aadhar,123456789,3,M,21-Jun-95,0,21-Jun-99
Mudit,Mudit,Mudit,JNU,8977712345,mudit.khetan@gmail.com,Adhar,123456789,1,M,22-Jun-89,0,22-Jun-99
Navneet,Navneet,Navneet,JNU,123456789,navneet.vermacs@gmail.com,Adhar,123456789,2,M,23-Jun-90,0,23-Jun-99
Hitesh ,Hitesh ,Hitesh ,JNU,123456789,xyz@gmail.com,Adhar,123456789,4,M,24-Jun-99,1000,24-Jun-99
Mayank,Mayank,Mayank,JNU,123456789,xyz@gmail.com,Adhar,123456789,4,M,25-Jun-99,1000,25-Jun-99
Devesh,Devesh,Devesh,JNU,123456789,xyz@gmail.com,Adhar,123456789,4,M,26-Jun-99,1000,26-Jun-99
Ashwini,Ashwini,Ashwini,JNU,123456789,xyz@gmail.com,Adhar,123456789,4,M,27-Jun-99,1000,27-Jun-99
Shahbaz,Shahbaz,Shahbaz,JNU,123456789,xyz@gmail.com,Adhar,123456789,4,M,28-Jun-99,1000,28-Jun-99
Mahtab,Mahtab,Mahtab,JNU,123456789,xyz@gmail.com,Adhar,123456789,4,M,29-Jun-99,1000,29-Jun-99
Gaurav,Gaurav,Gaurav,JNU,123456789,xyz@gmail.com,Adhar,123456789,4,M,30-Jun-99,1000,30-Jun-99
Ravi,Ravi,Ravi,JNU,123456789,xyz@gmail.com,Adhar,123456789,4,M,01-Jul-99,1000,01-Jul-99
Dinesh,Dinesh,Dinesh,JNU,123456789,xyz@gmail.com,Adhar,123456789,4,M,02-Jul-99,1000,02-Jul-99
Shidharth,Shidharth,Shidharth,JNU,123456789,xyz@gmail.com,Adhar,123456789,4,M,03-Jul-99,1000,03-Jul-99
Prabin,Prabin,Prabin,JNU,123456789,xyz@gmail.com,Adhar,123456789,4,M,04-Jul-99,1000,04-Jul-99
Bharart,Bharart,Bharart,JNU,123456789,xyz@gmail.com,Adhar,123456789,4,M,05-Jul-99,1000,05-Jul-99
Raj,Raj,Raj,JNU,123456789,xyz@gmail.com,Adhar,123456789,4,M,06-Jul-99,1000,06-Jul-99
Neelesh,Neelesh,Neelesh,JNU,123456789,xyz@gmail.com,Adhar,123456789,4,M,07-Jul-99,1000,07-Jul-99
Himanshu,Himanshu,Himanshu,JNU,123456789,xyz@gmail.com,Adhar,123456789,4,M,08-Jul-99,1000,08-Jul-99
Anirudh,Anirudh,Anirudh,JNU,123456789,xyz@gmail.com,Adhar,123456789,4,M,09-Jul-99,1000,09-Jul-99
Mayur,Mayur,Mayur,JNU,123456789,xyz@gmail.com,Adhar,123456789,4,M,10-Jul-99,1000,10-Jul-99
Rohan,Rohan,Rohan,JNU,123456789,xyz@gmail.com,Adhar,123456789,4,M,11-Jul-99,1000,11-Jul-99
